date,time,temperature,dewpoint,humidity,wind,wind speed,wind gust,pressure,precip,condition
01/06/2023,12:00 AM,84ʡF,77ʡF,79ʡ%,E,8ʡmph,0ʡmph,29.58ʡin,0.0ʡin,Fair
01/06/2023,12:30 AM,84ʡF,79ʡF,84ʡ%,E,8ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Fair
01/06/2023,01:00 AM,84ʡF,79ʡF,84ʡ%,E,9ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Fair
01/06/2023,01:30 AM,82ʡF,79ʡF,89ʡ%,E,7ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Fair
01/06/2023,02:00 AM,82ʡF,79ʡF,89ʡ%,E,7ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Fair
01/06/2023,02:30 AM,82ʡF,79ʡF,89ʡ%,E,6ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Fair
01/06/2023,03:00 AM,82ʡF,79ʡF,89ʡ%,E,7ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Fair
01/06/2023,03:30 AM,82ʡF,79ʡF,89ʡ%,E,7ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Fair
01/06/2023,04:00 AM,82ʡF,79ʡF,89ʡ%,E,7ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Fair
01/06/2023,04:30 AM,82ʡF,79ʡF,89ʡ%,E,8ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Fair
01/06/2023,05:00 AM,82ʡF,79ʡF,89ʡ%,ENE,7ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Fair
01/06/2023,05:30 AM,82ʡF,79ʡF,89ʡ%,ENE,7ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Mostly Cloudy
01/06/2023,06:00 AM,82ʡF,79ʡF,89ʡ%,NE,7ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Mostly Cloudy
01/06/2023,06:30 AM,82ʡF,79ʡF,89ʡ%,ENE,7ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Mostly Cloudy
01/06/2023,07:00 AM,82ʡF,79ʡF,89ʡ%,ENE,6ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Mostly Cloudy
01/06/2023,07:30 AM,86ʡF,81ʡF,84ʡ%,ENE,6ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Mostly Cloudy
01/06/2023,08:00 AM,86ʡF,81ʡF,84ʡ%,NE,7ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Mostly Cloudy
